"Scenario","Variable","time_center","AR1","Variance","CV","Skewness","Kurtosis","Reddening"
"6y","evapm",2003,0.288903828490382,0.00221181826709706,-18.4670903981731,-0.34030234911864,0.280049529437376,3.70373697963332
"6y","evapm",2004,0.24971456400464,0.00222509722196981,-30.82635215843,-0.406921921644517,0.275262451124861,2.53334646058291
"6y","evapm",2005,0.238199071850189,0.00239431557623207,-356.803077910258,-0.314862365087627,0.0861990542324123,2.54634519837009
"6y","evapm",2006,0.259182558804532,0.00239129558666441,-227.445748085387,-0.310912939616252,0.092456480185611,2.67286521183524
"6y","evapm",2007,0.256541460541923,0.00238310995264566,-24.9614950050334,-0.197829853083891,0.0710776909368608,2.82589850074857
"6y","npp",1988,-0.130551111071286,0.0018822964407146,14.8759520372541,-0.0282504510480851,0.827396457110752,1.30295727631953
"6y","npp",1989,0.0770962252434662,0.00382583690357848,-7.72638426489448,-1.31324897603026,3.5047918788417,2.13654956948061
"6y","npp",1990,0.062248419201692,0.0038272909214063,-7.92122523816006,-1.32305084966849,3.52023309290731,1.9996201123079
"6y","npp",1991,0.056465297979981,0.00527813640331623,313.618087682093,-0.451002536127267,2.4122137056024,2.45425732278915
"6y","npp",1992,0.130898055434103,0.00533991147830003,13.8423807422117,-0.636925561560736,2.47504303125923,2.70793837041584
"6y","npp",1993,0.16758171988066,0.00535392123263448,7.63014865918017,-0.809895316962927,2.65842261685098,2.78721950005724
"6y","npp",1994,0.177990326224787,0.00544422364406373,6.92855770241073,-0.822060015439918,2.52600251363655,2.28158971866576
"6y","npp",1995,0.0545666533617653,0.00728170177746604,-119.923585779922,-0.771742900393567,1.08917561231511,1.62907152130856
"6y","npp",1996,0.223288216901247,0.0081824245491745,-10.1653016982718,-0.546163251712361,0.176546770908556,1.66252876787267
"6y","npp",1997,0.285748536915818,0.00817599582295451,-10.2205649004972,-0.547860931161132,0.183071693954297,2.06851867340346
"6y","npp",1998,0.250274562414821,0.00831576481784791,-12.4253139442044,-0.5750356523057,0.11573988086562,2.19052833240172
"6y","npp",1999,0.240747859079352,0.0124227037296147,20.8930415297209,0.286222951230388,0.90875056475658,3.16534187648645
"6y","npp",2000,0.242446469951909,0.0124170437857906,18.7894491502516,0.268531404432089,0.905413227986564,2.95621361846209
"6y","npp",2001,0.231173917295979,0.0130431700676294,304.320309064195,0.358768481873254,0.61739375390286,3.55188243571793
"6y","npp",2002,0.22531096025312,0.0126666424178096,18.0531958658366,0.226202549270554,0.765806020916573,4.01041975111857
"6y","npp",2003,0.187947055188298,0.0140258720283849,-53.1579674038257,0.278987887451808,0.285515804171612,3.24367681339972
"6y","npp",2004,0.180597166304579,0.0139406733671377,-30.9376298107093,0.324333945977955,0.352140558243126,2.56232221459173
"6y","npp",2005,0.171364289645913,0.0148005210733384,59.2228008903199,0.206860314010974,-0.064840855824678,2.37343386675758
"6y","npp",2006,0.182216814576007,0.0142225085082672,-24.423952654028,0.37515079801327,0.265809268440748,1.95587738989791
"6y","npp",2007,0.151039632231993,0.0141186241025683,-40.7414936354613,0.326686924962575,0.291892762300882,1.85951717674443
"8y","ctotal",1988,-0.0659730726123327,1.37802263715128,-186.553707470228,1.72744929165187,3.85579063280115,1.32249286797055
"8y","ctotal",1989,-0.0666652767807535,1.37323085705956,24.1401807282883,1.59041230345856,3.51660382349977,1.29530175123166
"8y","ctotal",1990,-0.0903577865500946,1.35215432039403,-60.1520387785964,1.80056002493483,4.22566403637462,1.25207910652199
"8y","ctotal",1991,-0.0954206347671598,1.34791938323997,-45.3569713304943,1.82570627711474,4.32309724073365,1.22814541528917
"8y","ctotal",1992,-0.102819043434077,1.39595974249398,-15.6744315316359,1.84085463306183,4.19498537618746,1.22341848018433
"8y","ctotal",1993,-0.0521301326297956,1.41317042334615,-8.76952079176866,1.95992903378225,4.49193550236878,1.25461728933163
